2019-01-16 09:32:14.453 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.unittest.unittest.UnittestApplicationTests], using SpringBootContextLoader
2019-01-16 09:32:14.464 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.unittest.unittest.UnittestApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-01-16 09:32:14.466 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.unittest.unittest.UnittestApplicationTests]: UnittestApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-01-16 09:32:14.628 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.unittest.unittest.UnittestApplication for test class com.unittest.unittest.UnittestApplicationTests
2019-01-16 09:32:14.640 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-01-16 09:32:14.655 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2145b572, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@39529185, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@72f926e6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3daa422a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@31c88ec8, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1cbbffcd, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@27ce24aa, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@481a996b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3d51f06e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7ed7259e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@28eaa59a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3427b02d]
2019-01-16 09:32:14.660 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.unittest.unittest.UnittestApplicationTests], using SpringBootContextLoader
2019-01-16 09:32:14.661 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.unittest.unittest.UnittestApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-01-16 09:32:14.661 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.unittest.unittest.UnittestApplicationTests]: UnittestApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-01-16 09:32:14.667 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.unittest.unittest.UnittestApplication for test class com.unittest.unittest.UnittestApplicationTests
2019-01-16 09:32:14.675 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
